2019-10-21 14:34:49,496 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:49,496 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:49,598 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:49,598 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:49,598 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:49,698 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:49,698 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:49,698 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:49,799 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:49,799 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:49,799 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:49,901 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:49,901 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:49,901 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,002 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,002 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,002 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,102 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,102 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,102 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,203 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,203 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,203 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,305 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,305 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,305 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,405 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,405 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,405 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,506 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,506 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,506 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,608 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,608 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,608 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,709 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,709 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,709 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,809 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,809 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,809 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:50,911 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:50,911 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:50,911 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,012 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,012 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,012 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,112 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,112 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,112 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,213 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,213 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,213 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,315 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,315 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,315 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,415 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,415 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,415 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,516 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,516 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,516 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,618 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,618 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,618 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,719 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,719 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,719 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,819 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,819 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,819 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:51,921 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:51,921 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:51,921 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,022 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,022 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,022 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,122 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,122 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,122 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,223 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,223 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,223 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,325 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,325 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,325 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,426 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,426 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,426 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,526 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,526 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,526 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,628 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,628 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,628 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,727 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,727 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,727 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,828 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,828 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,828 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:52,930 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:52,930 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:52,930 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,030 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,030 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,030 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,131 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,131 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,131 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,233 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,233 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,233 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,334 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,334 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,334 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,434 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,434 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,434 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,536 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,536 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,536 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,637 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,637 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,637 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,737 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,737 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,737 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,838 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,838 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,838 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:53,940 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:53,940 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:53,940 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,040 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,040 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,040 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,141 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,141 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,141 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,243 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,243 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,243 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,344 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,344 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,344 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,444 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,444 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,444 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,546 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,546 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,546 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,647 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,647 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,647 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,747 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,747 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,747 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,848 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,848 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,848 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:54,950 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:54,950 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:54,950 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,051 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,051 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,051 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,151 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,151 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,151 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,253 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,253 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,253 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,354 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,354 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,354 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,454 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,454 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,454 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,555 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,555 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,555 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,657 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,657 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,657 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,757 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,757 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,757 - tardis_report | DEBUG : 200 - Already has lunch!
2019-10-21 14:34:55,858 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 14:34:55,858 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 14:34:55,858 - tardis_report | DEBUG : 200 - Already has lunch!
